id,SurveyDate,Regular_Hokkaido,High_octane_Hokkaido,light_oil_Hokkaido,Kerosene_Hokkaido
1,1990/8/27,121,137,70,747
2,1990/9/3,121,137,70,758
3,1990/9/10,121,137,71,786
4,1990/9/17,124,139,74,818
5,1990/9/25,132,148,82,961
6,1990/10/1,132,148,82,961
7,1990/10/8,132,148,82,961
8,1990/10/15,132,148,82,961
9,1990/10/22,137,153,87,"1,050"
10,1990/10/29,137,153,87,"1,049"
11,1990/11/5,137,153,87,"1,050"
12,1990/11/13,137,152,87,"1,047"
13,1990/11/19,137,152,87,"1,047"
14,1990/11/26,137,152,87,"1,047"
15,1990/12/3,137,152,87,"1,047"
16,1990/12/10,137,152,87,"1,046"
17,1990/12/17,136,151,86,"1,023"
18,1990/12/25,134,149,84,993
19,1991/1/7,134,149,84,990
20,1991/1/14,134,149,84,989
21,1991/1/21,131,146,81,941
22,1991/1/28,131,146,81,936
23,1991/2/4,131,146,81,935
24,1991/2/12,131,146,81,931
25,1991/2/18,129,144,79,892
26,1991/2/25,128,143,78,879
27,1991/3/4,128,143,78,875
28,1991/3/11,128,143,78,875
29,1991/3/18,126,141,76,842
30,1991/3/25,125,140,75,819
31,1991/4/1,126,140,76,830
32,1991/4/8,126,140,76,832
33,1991/4/15,126,140,76,832
34,1991/4/22,126,140,76,833
35,1991/4/30,126,140,76,832
36,1991/5/7,126,140,76,828
37,1991/5/13,126,140,76,828
38,1991/5/20,126,140,76,828
39,1991/5/27,126,140,76,828
40,1991/6/3,126,140,76,828
41,1991/6/10,126,140,76,827
42,1991/6/17,126,140,76,827
43,1991/6/24,125,140,76,827
44,1991/7/1,125,140,76,827
45,1991/7/8,125,140,76,825
46,1991/7/15,125,140,76,825
47,1991/7/22,125,140,76,826
48,1991/7/29,125,140,76,826
49,1991/8/5,125,140,76,826
50,1991/8/12,125,140,76,826
51,1991/8/19,125,140,75,825
52,1991/8/26,125,140,75,825
53,1991/9/2,125,140,75,825
54,1991/9/9,125,140,75,825
55,1991/9/17,125,140,75,825
56,1991/9/24,125,140,76,829
57,1991/9/30,125,140,76,829
58,1991/10/7,125,140,76,832
59,1991/10/14,125,140,76,830
60,1991/10/21,125,140,76,832
61,1991/10/28,126,141,76,839
62,1991/11/5,126,141,76,843
63,1991/11/11,126,141,76,844
64,1991/11/18,126,141,77,851
65,1991/11/25,126,141,77,852
66,1991/12/2,126,142,77,852
67,1991/12/9,126,142,77,852
68,1991/12/16,126,141,77,851
69,1991/12/24,126,141,77,851
70,1992/1/6,126,141,77,849
71,1992/1/13,126,141,77,849
72,1992/1/20,125,140,76,832
73,1992/1/27,125,139,75,815
74,1992/2/3,124,139,75,809
75,1992/2/10,124,139,75,809
76,1992/2/17,124,139,75,809
77,1992/2/24,124,139,75,806
78,1992/3/2,124,139,75,806
79,1992/3/9,124,139,75,806
80,1992/3/16,124,139,75,805
81,1992/3/23,124,139,75,805
82,1992/3/30,124,139,75,805
83,1992/4/1,124,138,74,795
84,1992/4/6,123,138,74,795
85,1992/4/13,123,138,74,793
86,1992/4/20,123,138,74,794
87,1992/4/27,123,138,74,794
88,1992/5/6,123,138,74,791
89,1992/5/11,123,138,73,793
90,1992/5/18,123,138,74,793
91,1992/5/25,123,138,74,795
92,1992/6/1,123,138,74,795
93,1992/6/8,123,138,74,797
94,1992/6/15,123,138,74,797
95,1992/6/22,123,138,74,797
96,1992/6/29,123,138,74,797
97,1992/7/6,123,139,74,800
98,1992/7/13,124,139,74,798
99,1992/7/20,124,139,74,798
100,1992/7/27,124,139,74,799
101,1992/8/3,124,139,74,806
102,1992/8/10,124,139,74,806
103,1992/8/17,124,139,75,807
104,1992/8/24,124,139,75,805
105,1992/8/31,125,139,75,808
106,1992/9/7,126,140,76,821
107,1992/9/14,126,140,76,821
108,1992/9/21,126,141,76,822
109,1992/9/28,126,141,77,827
110,1992/10/5,126,141,77,829
111,1992/10/12,126,141,77,837
112,1992/10/19,126,141,77,837
113,1992/10/26,126,141,77,834
114,1992/11/2,126,141,77,831
115,1992/11/9,126,141,77,830
116,1992/11/16,126,141,77,830
117,1992/11/24,126,141,77,830
118,1992/11/30,126,141,77,830
119,1992/12/7,126,141,77,830
120,1992/12/14,126,141,77,830
121,1992/12/21,126,141,77,830
122,1993/1/4,126,141,77,827
123,1993/1/11,126,141,77,827
124,1993/1/18,126,141,77,826
125,1993/1/25,126,141,77,825
126,1993/2/1,126,141,77,825
127,1993/2/8,126,141,77,823
128,1993/2/15,126,141,77,823
129,1993/2/22,126,141,77,821
130,1993/3/1,126,141,76,817
131,1993/3/8,126,141,76,817
132,1993/3/15,126,141,76,818
133,1993/3/22,126,141,76,818
134,1993/3/29,126,141,76,818
135,1993/4/5,126,140,76,816
136,1993/4/12,126,140,76,815
137,1993/4/19,126,140,76,816
138,1993/4/26,126,140,76,816
139,1993/5/10,125,140,76,814
140,1993/5/17,125,140,76,814
141,1993/5/24,125,140,76,814
142,1993/5/31,125,140,76,811
143,1993/6/7,125,140,76,806
144,1993/6/14,125,140,76,806
145,1993/6/21,125,140,76,803
146,1993/6/28,125,140,76,802
147,1993/7/5,125,140,76,802
148,1993/7/12,125,140,76,802
149,1993/7/19,125,139,76,801
150,1993/7/26,125,139,76,801
151,1993/8/2,125,139,76,801
152,1993/8/9,125,139,76,798
153,1993/8/16,125,139,76,798
154,1993/8/23,125,139,76,798
155,1993/8/30,125,139,76,798
156,1993/9/6,125,139,76,797
